epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
87,1438.31,0.52618,0.43222,0.0221,0.92896,0.94139,0.96618,0.60132,0.42534,0.42968,0.01268,0.00151349,0.00151349,0.00151349
88,1454.95,0.52789,0.4318,0.02378,0.91974,0.90751,0.93899,0.38849,0.64748,0.45461,0.0261,0.00150783,0.00150783,0.00150783
89,1471.32,0.55625,0.43597,0.02032,0.87524,0.84089,0.86792,0.2174,0.82363,0.45638,0.03641,0.00150217,0.00150217,0.00150217
90,1487.8,0.55564,0.43816,0.02171,0.92096,0.92081,0.94073,0.36231,0.68557,0.45629,0.03014,0.00149651,0.00149651,0.00149651
91,1504.26,0.52254,0.43443,0.02414,0.91977,0.92438,0.94802,0.44107,0.58261,0.45185,0.02387,0.00149086,0.00149086,0.00149086
92,1520.72,0.53635,0.43398,0.02111,0.93267,0.94384,0.96218,0.51742,0.49481,0.44893,0.01883,0.0014852,0.0014852,0.0014852
93,1537.26,0.53519,0.43324,0.02403,0.91405,0.90281,0.93008,0.37238,0.66343,0.45892,0.0288,0.00147954,0.00147954,0.00147954
94,1553.8,0.48968,0.42129,0.01893,0.9186,0.92945,0.94666,0.41396,0.60702,0.46817,0.02599,0.00147389,0.00147389,0.00147389
95,1570.17,0.48252,0.42589,0.01777,nan,0.94096,0.92583,0.43151,nan,nan,nan,0.00146823,0.00146823,0.00146823
96,1586.56,0.50032,0.42486,0.02213,0.92375,0.92225,0.94659,0.36934,0.65813,0.47137,0.02751,0.00146257,0.00146257,0.00146257
97,1603.1,0.50402,0.42376,0.02391,0.91707,0.92349,0.94623,0.36623,0.64355,0.47681,0.02575,0.00145691,0.00145691,0.00145691
98,1619.5,0.46653,0.42246,0.01543,0.92775,0.9245,0.95282,0.48465,0.54765,0.45814,0.02178,0.00145126,0.00145126,0.00145126
