epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2817.75,1.70354,0.82849,0.75713,0.90068,0.85606,0.90395,0.41351,1.48139,0.68649,0.64023,0.0013763,0.0013763,0.0013763
65,2860.99,1.67996,0.80144,0.76356,0.88193,0.85102,0.87329,0.29391,1.81883,0.73595,0.67276,0.0013664,0.0013664,0.0013664
66,2903.5,1.74563,0.79341,0.78707,0.81873,0.63219,0.73589,0.2839,1.84855,1.05587,0.64703,0.0013565,0.0013565,0.0013565
67,2945.96,1.69376,0.7551,0.76839,0.91075,0.88355,0.91236,0.40424,1.49532,0.63359,0.63846,0.0013466,0.0013466,0.0013466
68,2988.5,1.64626,0.79971,0.76864,0.90065,0.86759,0.90788,0.42088,1.42589,0.68798,0.63122,0.0013367,0.0013367,0.0013367
69,3031.01,1.63056,0.76853,0.75565,0.90559,0.89518,0.92263,0.36243,1.68456,0.80885,0.65297,0.0013268,0.0013268,0.0013268
70,3073.52,1.75593,0.81527,0.78113,0.74342,0.5931,0.60798,0.17649,2.22471,2.14339,0.67025,0.0013169,0.0013169,0.0013169
71,3115.93,1.77437,0.79524,0.76254,0.92034,0.88086,0.9189,0.44831,1.39181,0.66785,0.63379,0.001307,0.001307,0.001307
72,3158.53,1.72592,0.87268,0.77776,0.89526,0.89036,0.90991,0.42517,1.41239,0.92582,0.6268,0.0012971,0.0012971,0.0012971
73,3201.15,1.74581,0.84308,0.77619,0.61625,0.48698,0.43559,0.11694,2.21656,31.6535,0.71033,0.0012872,0.0012872,0.0012872
74,3243.66,1.66102,0.81728,0.76341,0.91497,0.89779,0.92305,0.36158,1.64958,0.68994,0.65944,0.0012773,0.0012773,0.0012773
75,3286.13,1.69419,0.80021,0.78371,0.91739,0.87826,0.91756,0.45739,1.36668,0.60533,0.62701,0.0012674,0.0012674,0.0012674
76,3328.91,1.65217,0.75438,0.76549,0.91099,0.91276,0.92926,0.41045,1.56216,0.65754,0.64633,0.0012575,0.0012575,0.0012575
77,3371.48,1.74573,0.76644,0.7853,0.90819,0.90164,0.92516,0.40134,1.56015,0.76764,0.6419,0.0012476,0.0012476,0.0012476
78,3414.01,1.65037,0.7522,0.76385,0.48853,0.35612,0.30031,0.08191,2.50658,3.14643,0.68951,0.0012377,0.0012377,0.0012377
